Age,Mean,Std
1401.900000,0.766606,0.044060
1406.470000,0.716364,0.048095
1411.950000,0.680504,0.049518
1417.440000,0.662875,0.050145
1424.090000,0.697727,0.047828
1428.790000,0.721044,0.046801
1431.530000,0.803212,0.041398
1434.270000,0.802117,0.042012
1437.020000,0.807906,0.041831
1439.760000,0.769878,0.043460
1442.500000,0.803139,0.041130
1445.250000,0.769874,0.043158
1447.990000,0.783182,0.042593
1450.730000,0.710903,0.047770
1453.660000,0.591461,0.056462
1456.740000,0.629157,0.053421
1459.820000,0.744596,0.045213
1462.900000,0.628282,0.054190
1465.990000,0.732086,0.046268
1469.070000,0.728498,0.046809
1472.150000,0.748930,0.045502
1475.230000,0.782566,0.042718
1478.320000,0.703429,0.048355
1481.400000,0.724891,0.046852
1484.480000,0.711918,0.047959
1487.570000,0.730189,0.046598
1490.650000,0.734763,0.045871
1493.730000,0.657706,0.050937
1498.110000,0.580396,0.057033
1502.610000,0.569108,0.057593
1507.110000,0.591524,0.055756
1511.610000,0.676595,0.049554
1516.110000,0.736388,0.046012
1520.610000,0.726874,0.047173
1525.110000,0.704622,0.048262
1529.610000,0.738423,0.045457
1532.640000,0.653932,0.052472
1535.520000,0.508986,0.063199
1538.410000,0.521222,0.061287
1541.300000,0.527178,0.061100
1544.190000,0.593862,0.055281
1547.080000,0.640608,0.051805
1549.970000,0.715667,0.046857
1552.860000,0.708186,0.047967
1555.750000,0.795017,0.041717
1558.640000,0.781759,0.042213
1561.520000,0.769824,0.043157
1564.410000,0.784896,0.042592
1567.300000,0.742767,0.045915
1570.580000,0.726710,0.046888
1574.430000,0.665761,0.050638
1578.270000,0.590624,0.056087
1582.110000,0.667021,0.050411
1585.950000,0.658784,0.050697
1589.800000,0.709182,0.047264
1593.640000,0.708230,0.047481
1597.480000,0.719478,0.046953
1601.320000,0.740171,0.045863
1605.160000,0.736820,0.045706
1609.010000,0.749922,0.045000
1612.850000,0.738355,0.046005
1616.690000,0.735515,0.046460
1620.530000,0.716591,0.047097
1624.370000,0.714864,0.047169
1628.220000,0.723095,0.046722
1632.060000,0.729188,0.046197
1635.900000,0.764645,0.044252
1639.740000,0.708152,0.047062
1644.250000,0.673710,0.049555
1649.710000,0.637395,0.052464
1655.170000,0.655802,0.051281
