LR04_age (kyrs),eNd,Max Error  (2SE)
1097.61,-8.27,0.17
1100.51,-8.50,0.17
1103.40,-8.67,0.20
1112.07,-10.01,0.18
1114.96,-9.59,0.19
1117.86,-9.63,0.16
1121.91,-9.48,0.20
1126.02,-8.48,0.19
1130.14,-8.56,0.16
1134.25,-8.89,0.18
1138.37,-8.53,0.21
1142.48,-9.71,0.27
1146.59,-10.03,0.22
1150.71,-9.94,0.25
1154.82,-8.85,0.26
1158.94,-9.90,0.20
1163.05,-9.41,0.23
1167.17,-10.09,0.35
1171.28,-8.56,0.19
1175.39,-9.12,0.26
1179.51,-9.65,0.26
1183.62,-9.85,0.21
1187.74,-9.43,0.18
1191.47,-9.59,0.21
1194.75,-9.21,0.19
1198.02,-8.75,0.23
1201.29,-8.70,0.17
1204.56,-8.11,0.17
1207.84,-7.56,0.22
1211.11,-8.16,0.17
1214.38,-9.31,0.21
1217.65,-9.63,0.17
1220.93,-10.05,0.23
1224.20,-10.01,0.24
1227.47,-9.32,0.18
1230.75,-9.94,0.20
1234.02,-9.78,0.24
1237.29,-9.99,0.23
1240.56,-9.19,0.19
1243.84,-8.83,0.23
1248.49,-8.11,0.29
1253.22,-8.28,0.18
1257.95,-8.57,0.21
1262.67,-9.86,0.23
1267.40,-9.94,0.27
1272.13,-9.94,0.27
1276.85,-9.84,0.23
1281.58,-9.50,0.19
1291.04,-8.52,0.21
1295.76,-7.75,0.18
1300.49,-8.89,0.21
1305.22,-9.21,0.18
1309.95,-10.40,0.19
1314.67,-10.03,0.19
1319.40,-9.97,0.18
1323.22,-9.06,0.15
1325.93,-9.23,0.20
1328.64,-8.44,0.16
1331.35,-7.42,0.17
1334.06,-8.63,0.21
1336.77,-9.01,0.18
1339.48,-9.70,0.18
1342.19,-10.19,0.23
1344.90,-10.40,0.19
1347.61,-9.24,0.21
1350.32,-8.76,0.20
1353.03,-9.74,0.22
1355.74,-9.47,0.22
1358.45,-10.00,0.22
1361.15,-9.72,0.24
1363.86,-10.10,0.21
1367.62,-9.60,0.21
1371.43,-9.57,0.27
1375.24,-8.55,0.20
1379.05,-7.81,0.20
1382.86,-8.46,0.26
1386.67,-9.38,0.19
1390.48,-10.03,0.23
1394.29,-10.34,0.22
1398.10,-9.32,0.31
1401.90,-10.18,0.22
1406.47,-9.62,0.27
1411.95,-9.24,0.20
1417.44,-9.06,0.16
1424.09,-9.42,0.16
1428.79,-9.67,0.21
1431.53,-10.62,0.20
1434.27,-10.61,0.25
1437.02,-10.68,0.24
1439.76,-10.22,0.19
1442.50,-10.62,0.18
1445.25,-10.22,0.18
1447.99,-10.38,0.20
1450.73,-9.56,0.22
1453.66,-8.38,0.23
1456.74,-8.73,0.20
1459.82,-9.93,0.21
1462.90,-8.72,0.25
1465.99,-9.79,0.23
1469.07,-9.75,0.25
1472.15,-9.98,0.24
1475.23,-10.37,0.21
1478.32,-9.48,0.23
1481.40,-9.71,0.23
1484.48,-9.57,0.27
1487.57,-9.77,0.24
1490.65,-9.82,0.21
1493.73,-9.01,0.18
1498.11,-8.28,0.21
1502.61,-8.18,0.20
1507.11,-8.38,0.17
1511.61,-9.20,0.19
1516.11,-9.84,0.21
1520.61,-9.73,0.25
1525.11,-9.49,0.24
1529.61,-9.86,0.20
1532.64,-8.97,0.28
1535.52,-7.67,0.22
1538.41,-7.77,0.17
1541.30,-7.82,0.21
1544.19,-8.40,0.16
1547.08,-8.84,0.14
1549.97,-9.61,0.17
1552.86,-9.53,0.23
1555.75,-10.52,0.17
1558.64,-10.36,0.16
1561.52,-10.22,0.18
1564.41,-10.40,0.20
1567.30,-9.91,0.25
1570.58,-9.73,0.24
1574.43,-9.09,0.19
1578.27,-8.37,0.19
1582.11,-9.10,0.19
1585.95,-9.02,0.18
1589.80,-9.54,0.19
1593.64,-9.53,0.19
1597.48,-9.65,0.21
1601.32,-9.88,0.24
1605.16,-9.84,0.21
1609.01,-9.99,0.21
1612.85,-9.86,0.24
1616.69,-9.83,0.25
1620.53,-9.62,0.22
1624.37,-9.60,0.21
1628.22,-9.69,0.21
1632.06,-9.76,0.21
1635.90,-10.16,0.24
1639.74,-9.53,0.16
1644.25,-9.17,0.16
1649.71,-8.81,0.19
1655.17,-8.99,0.21
