Age [ka BP],stack,std
608.5,0.959583333,0.091688444
613.5,0.774444444,0.039969124
618.5,0.44275,0.301480099
623.5,0.539814815,0.26644802
628.5,0.545555556,0.350322603
633.5,0.733888889,0.394209241
638.5,0.625555556,0.378540081
643.5,0.727142857,0.611166499
648.5,0.368333333,0.539758176
653.5,0.5922,0.290627253
658.5,0.489857143,0.271924547
663.5,0.692850877,0.150825394
668.5,0.538039216,0.241178902
673.5,0.615416667,0.290998839
678.5,0.622727273,0.379919522
683.5,0.811309524,0.170844408
688.5,1.056666667,0.265403257
693.5,1.079666667,0.168178146
698.5,0.898333333,0.373348214
703.5,0.892916667,0.21202889
708.5,0.286666667,0.76299119
713.5,0.415,0.545829304
718.5,0.795,0.304329865
723.5,0.7975,0.197040605
728.5,0.856625,0.218320626
733.5,0.628484848,0.233720065
738.5,0.6056,0.355688487
743.5,0.591428571,0.480008503
748.5,0.744666667,0.326474093
753.5,0.514270833,0.152732206
758.5,0.645071429,0.162810206
763.5,0.748746032,0.147207185
768.5,0.692103175,0.129160047
773.5,0.615661538,0.596170532
778.5,0.717633478,0.011005921
783.5,0.251428571,0.793109641
788.5,0.323055556,0.663699183
793.5,0.0971875,0.069284851
798.5,0.49875,0.319018678
803.5,0.7555,0.309452743
808.5,0.767916667,0.156981805
813.5,0.855625,0.315795127
818.5,0.663219697,0.181063221
823.5,0.647657895,0.312872609
828.5,0.574022222,0.230588815
833.5,0.665474359,0.217823227
838.5,0.613,0.291254828
843.5,0.565666667,0.153212996
848.5,0.472222222,0.402277467
853.5,0.6175,0.198695398
858.5,0.247666667,0.103813936
863.5,-0.306666667,0.497873255
868.5,0.084333333,0.387881712
873.5,0.358333333,0.302893454
878.5,0.496,0.308411251
883.5,0.0635,0.29514615
888.5,0.2165,0.192480518
893.5,0.25,0.403035358
898.5,0.525333333,0.366890841
903.5,0.449,0.195237035
908.5,0.148722222,0.096173631
913.5,0.109333333,0.216532523
918.5,0.35047619,0.444763944
923.5,0.4155,0.232696512
928.5,0.5,0.219459563
933.5,0.521533333,0.345287449
938.5,0.644791667,0.24410871
943.5,0.683714286,0.319077184
948.5,0.570083333,0.272657753
953.5,0.417699634,0.604645346
958.5,0.406673077,0.392012123
963.5,0.5946,0.24339433
968.5,0.6392,0.396451384
973.5,0.702055556,0.330290837
978.5,0.798125,0.257680515
983.5,0.561527778,0.224696125
988.5,0.717866667,0.433732163
993.5,0.864430769,0.281563432
998.5,0.733392857,0.306987433
1003.5,0.534711538,0.644582214
1008.5,0.82409375,0.230049709
1013.5,0.782714286,0.321265991
1018.5,0.757320635,0.316266699
1023.5,0.6656,0.406640873
1028.5,0.810785714,0.26952249
1033.5,0.691907692,0.285676869
1038.5,0.674711111,0.56532476
1043.5,0.6131,0.433534082
1048.5,0.684285714,0.292659825
1053.5,0.482666667,0.363200664
1058.5,0.5814,0.199987
1063.5,0.671533333,0.395491368
1068.5,0.724875,0.20748509
1073.5,0.8735,0.250297823
1078.5,0.947638889,0.215964853
1083.5,0.868571429,0.1873336
1088.5,0.793583333,0.360185485
1093.5,0.603431373,0.324531381
1098.5,0.679,0.218471966
1103.5,0.943125,0.127595961
1108.5,0.719666667,0.303986591
1113.5,0.527772727,0.466436354
1118.5,0.197083333,0.550475174
1123.5,0.695833333,0.388497819
1128.5,0.5875,0.477257792
1133.5,0.586964286,0.310381801
1138.5,0.546666667,0.300721355
1143.5,0.569333333,0.391607442
1148.5,0.804,0.075716577
1153.5,0.99525,0.210515835
1158.5,0.944791667,0.284644332
1163.5,0.915142857,0.283583753
1168.5,0.874166667,0.150858653
1173.5,0.859071429,0.319053887
1178.5,0.749027778,0.374376127
1183.5,0.915,0.188767935
1188.5,0.649166667,0.267632366
1193.5,0.7275,0.235814192
1198.5,0.767,0.224766546
1203.5,0.67375,0.309229553
