Age,Mean,Std
438.500000,-52.934902,35.350733
443.500000,-100.257939,7672.033117
448.500000,-1318.717791,111239.158463
453.500000,214.953293,2310.125586
458.500000,251.626839,26027.650704
463.500000,567.470524,21831.674316
468.500000,91.026662,11.682692
473.500000,506.540442,356.510789
478.500000,42.083837,5.203413
483.500000,56.976369,6.711738
488.500000,81.291853,6.984247
493.500000,96.770665,6.309615
498.500000,79.786319,4.478672
503.500000,67.926650,5.078869
508.500000,54.337976,5.407949
513.500000,57.371177,6.777770
518.500000,112.751287,10.647211
523.500000,101.931969,7.382105
528.500000,93.281971,6.505952
533.500000,222.600942,65.490717
538.500000,67.501524,8.084769
543.500000,60.028895,5.575624
548.500000,52.648226,4.647924
553.500000,96.755849,8.071288
558.500000,139.694767,18.258347
563.500000,112.788319,12.004052
568.500000,84.970688,8.087438
573.500000,92.317126,7.471134
578.500000,49.936214,7.024198
583.500000,71.727084,5.784552
588.500000,58.417481,4.795098
593.500000,71.722969,6.778786
598.500000,54.588745,4.242443
603.500000,54.128361,4.600095
608.500000,63.451862,4.048950
613.500000,64.419892,4.272243
618.500000,33.851844,3.146070
623.500000,111.170245,16.624595
628.500000,134.836327,21.415130
633.500000,40.501871,3.233641
638.500000,65.889008,6.482168
643.500000,218.175025,56.116657
648.500000,78.587844,9.928376
653.500000,86.460241,7.383993
658.500000,107.304865,11.464859
663.500000,54.361606,8.325534
668.500000,85.576147,7.441634
673.500000,28.723951,6.461973
678.500000,54.483103,3.845201
683.500000,65.070341,3.464826
688.500000,30.116900,3.486053
693.500000,61.927558,3.016012
698.500000,76.504597,3.557812
703.500000,72.251553,3.295716
708.500000,204.550453,28.502714
713.500000,924.957234,31129.508648
718.500000,236.420471,89.965261
723.500000,118.710609,253.530962
728.500000,56.079054,8.999618
733.500000,8.628953,4.250841
738.500000,28.936822,5.621745
743.500000,-1367.199196,192018.117894
748.500000,52.700913,9471.259482
753.500000,163.944035,21.508249
758.500000,163.772737,39.427950
763.500000,-2841.748257,417282.984598
768.500000,139.283690,14.930484
773.500000,132.126180,13.261197
778.500000,42.559207,4.707428
783.500000,90.497878,7.274027
788.500000,240.007737,58.291332
793.500000,178.042816,101.430641
798.500000,-409.503555,63027.151126
803.500000,-419.561187,52267.404363
808.500000,44.467915,12.406970
813.500000,37.115006,6.896613
818.500000,56.650673,3.839065
823.500000,41.583468,4.371092
828.500000,55.532589,3.982023
833.500000,35.472828,4.776870
838.500000,32.053209,4.537511
843.500000,29.469821,3.880196
848.500000,48.676774,4.174742
853.500000,43.259950,4.033151
858.500000,43.990983,4.204349
863.500000,301.140511,126.119273
868.500000,53.417412,5.020359
873.500000,386.383053,24496.168229
878.500000,111.208753,22.704127
883.500000,93.377058,17.757721
888.500000,246.906001,235.082478
893.500000,211.686368,55.176277
898.500000,50.687160,9.808136
903.500000,52.361221,3.191250
908.500000,50.899803,3.220069
913.500000,34.478742,3.196423
918.500000,-396.063698,15231.720310
923.500000,53.393348,11.415007
928.500000,69.413949,11.053703
933.500000,11.983723,8.018277
938.500000,49.399923,4.393498
943.500000,65.642504,6.393061
948.500000,74.972109,5.516137
953.500000,37.339497,4.175956
958.500000,47.517249,4.927355
963.500000,49.059443,10.491060
968.500000,23.954994,4.680203
973.500000,63.798304,5.214915
978.500000,50.729479,4.082047
983.500000,61.451589,5.898180
988.500000,49.945543,4.547574
993.500000,55.219825,3.238682
998.500000,67.471668,3.622025
